"","1972-02-12 07:00:00","1972-02-13 07:00:00","1972-02-14 07:00:00","1972-02-15 07:00:00","1972-02-16 07:00:00","1972-02-17 07:00:00","1972-02-18 07:00:00","1972-02-19 07:00:00","1972-02-20 07:00:00","1972-02-21 07:00:00","1972-02-22 07:00:00","1972-02-23 07:00:00","1972-02-24 07:00:00","1972-02-25 07:00:00","1972-02-26 07:00:00","1972-02-27 07:00:00","1972-02-28 07:00:00","1972-02-29 07:00:00","1972-03-01 07:00:00","1972-03-02 07:00:00","1972-03-03 07:00:00"
"T+12",0.0454200189445503,0.0512426613346671,0.0493749813806015,0.0476179808790592,0.0556991290635741,0.0561133432737443,0.0536400990671737,0.0538001302018411,0.0516856851669202,0.0506429940597034,0.0520429647263481,0.0500470894545652,0.0481054513306147,0.0473475159972128,0.0487737012597649,0.0483622982716789,0.0467206760540578,0.0458485304229597,0.044365661015296,0.0458770805658278,0.0549452297994171
"T+13",0.0457602275417101,0.0514190078152749,0.0496014653991383,0.0478936272520758,0.0557634292381787,0.0561677087036384,0.0537549420855711,0.0539109729565043,0.0518504351011457,0.0508352139832222,0.0521984412028257,0.0502552908477382,0.0483672516786355,0.0476309157324844,0.0490167811403821,0.0486168681697161,0.0470222460200563,0.0461758652317577,0.0447381788889775,0.0462035627583394,0.0550278075193186
"T+14",0.0460902034288459,0.0515907251795766,0.0498217575084022,0.0481614241785839,0.055826182275481,0.0562207757409723,0.0538669131251719,0.054019052341024,0.0520109002016566,0.0510223232839494,0.0523499037113936,0.050457884549155,0.0486216825684587,0.047906192588772,0.0492531239661232,0.0488643150944949,0.0473150389316259,0.0464934623188572,0.045099176174149,0.0465203396546632,0.0551083706737315
"T+15",0.046410340872526,0.0517579516072011,0.0500360574620131,0.0484216450652146,0.055887427155766,0.0562725766230763,0.0539760902286366,0.054124442994354,0.0521672061094201,0.0512044782985923,0.0524974682878288,0.0506550463999523,0.048868995196114,0.0481736329460174,0.0494829527670684,0.0491048791155859,0.0475993731490923,0.0468016894075992,0.0454491197048608,0.0468277772656074,0.055186971416483
"T+16",0.0467210129362538,0.0519208202008992,0.0502445567173385,0.0486745505791903,0.0559472017904197,0.0563231427269072,0.0540825489891695,0.0542272172373146,0.0523194739816341,0.0513818293891384,0.0526412469230084,0.0508469452530924,0.0491094294203578,0.0484335096023126,0.0497064809380749,0.049338789648046,0.0478755513034248,0.0471008949899493,0.045788449427652,0.0471262224957404,0.0552636603988679
"T+17",0.047022573060318,0.0520794592294007,0.0504474388972648,0.0489203894588542,0.0560055430556037,0.0563725045949803,0.0541863626452266,0.0543274451608799,0.0524678206982946,0.0515545212432654,0.0527813477435957,0.0510337433421429,0.0493432144582396,0.0486860826554385,0.0499239128006704,0.0495662660935515,0.0481438613648431,0.0473914097169495,0.0461175805562739,0.0474160045220122,0.055338486820814
"T+18",0.0473153564894369,0.0522339923552384,0.0506448802185676,0.0491593992572362,0.0560624868246497,0.0564206919603721,0.0542876021705811,0.0544251947102124,0.0526123590564753,0.0517226931551614,0.0529178751823257,0.0512155966247836,0.0495705695252246,0.0489316003101335,0.0501354441223584,0.0497875184313988,0.048404577617288,0.0476735476590513,0.0464369055037654,0.0476974360436159,0.0554114984798937
"T+19",0.0475996815659981,0.0523845388486863,0.0508370498898486,0.0493918070254129,0.0561180679992301,0.0564677337708333,0.0543863363600301,0.0545205317646996,0.0527531979532205,0.0518864792883333,0.0530509301386328,0.0513926551031744,0.0497917044252804,0.0491702996187299,0.0503412625972951,0.0500027477641706,0.0486579615488594,0.0479476074511269,0.0467467956197223,0.0479708144177041,0.055482741818295
"T+20",0.0478758509042648,0.0525312137888607,0.0510241104816981,0.0496178299416242,0.0561723205393647,0.0565136582120526,0.0544826319110031,0.0546135202142289,0.0528904425578811,0.052046008921827,0.053180610130298,0.0515650631231034,0.0500068200957171,0.0494024071618782,0.0505415482918609,0.0502121468223324,0.048904262667058,0.0482138733349963,0.0470476027565535,0.0482364226936431,0.0555522619678562
"T+21",0.0481441524588729,0.0526741282529354,0.0512062182714675,0.0498376758914149,0.0562252774923147,0.0565584927301057,0.0545765535013164,0.0547042220319197,0.0530241944746453,0.0522014066811537,0.0533070094367386,0.0517329596536485,0.0502161091110345,0.0496281396752851,0.0507364740582781,0.0504159004315482,0.0491437192465834,0.0484726161106367,0.047339660685139,0.0484945305568419,0.0556201027932633
"T+22",0.0484048604992039,0.0528133894943412,0.0513835235647963,0.0500515440034709,0.0562769710204155,0.0566022640531256,0.0546681638632989,0.0547926973435177,0.0531545518959574,0.0523527927550958,0.0534302192345113,0.0518964785489181,0.0504197561495559,0.0498477046277058,0.0509262059190898,0.0506141859460981,0.049376559016503,0.0487240940058239,0.0476232863774665,0.0487453951917902,0.0556863069335023
"T+23",0.0486582364997357,0.0529491011107439,0.0515561709958241,0.0502596251452979,0.0563274324278956,0.0566449982122262,0.0547575238544994,0.0548790044936408,0.053281609747456,0.0525002830994602,0.0535503277255534,0.0520557487932886,0.0506179384262265,0.0500613007548343,0.0511109034250237,0.0508071736514174,0.0496029997928036,0.0489685534727363,0.0478987811714328,0.0489892620727446,0.0557509158416544
"T+24",0.0489045299552057,0.0530813632025261,0.0517242998078298,0.0504621023824354,0.0563766921867271,0.056686720561711,0.0548446925251719,0.0549632001090539,0.0534054598250142,0.0526439896287496,0.053667420258645,0.0522108947314234,0.0508108260945873,0.0502691185532158,0.05129071998851,0.0509950271384619,0.049823250061637,0.0492062299190116,0.0481664318309772,0.0492263656894654,0.0558139698231141
"T+25",0.0491439791283388,0.0532102725224389,0.0518880441158724,0.0506591514044969,0.0564247799615498,0.0567274557985954,0.0549297271827196,0.0550453391591385,0.0535261909244147,0.0527840203966408,0.0537815794445369,0.0523620362842406,0.0509985826206241,0.0504713407378553,0.0514658031948926,0.0511779036523252,0.0500375095179677,0.0494373483798467,0.0484265115129962,0.0494569302145271,0.0558755080723095
"T+26",0.0493768117369528,0.0533359226170331,0.0520475331528571,0.0508509409209843,0.0564717246337108,0.0567672279814726,0.0550126834532693,0.0551254750137101,0.0536438889641509,0.0529204797660768,0.0538928852651532,0.0525092891518909,0.0511813651309128,0.0506681426667973,0.0516362950931712,0.051355954417288,0.0502459695638017,0.0496621241369542,0.0486792806510274,0.049681170117953,0.055935568707995
"T+27",0.0496032455864533,0.0534584039604296,0.0522028915003195,0.0510376330295093,0.0565175543244558,0.0568060605487477,0.0550936153405331,0.0552036594983294,0.0537586371018067,0.053053468569714,0.0540014151772493,0.0526527650047115,0.0513593247372365,0.0508596927356061,0.051802332467936,0.0515293249402618,0.0504488137697172,0.049880763289521,0.0489249877644396,0.049899290734265,0.055994188807186
